YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2024,1051,Kansas,4,32,2,26.31,111.3,9,85,1,72.3,79,-25,-8.36,-3.2
2024,1050,Kentucky,3,64,18,20.3,111.2,10,90.9,35,70.1,254,-5,-1,2.6
2024,1049,Long Beach St.,15,64,120,3.42,101.4,116,98,135,75.1,3,-45,-3.67,-3.6
2024,1048,Longwood,16,64,231,-4.78,95.5,256,100.3,199,69.9,265,70,5.14,-3.1
2024,1047,Marquette,2,16,11,22.17,112,6,89.9,28,71.4,146,-2,0.84,-2.4
2024,1046,McNeese St.,12,64,187,-1.14,100.9,135,102,237,71.9,114,120,12.94,-6.1
2024,1045,Michigan St.,9,32,13,21.56,109.5,17,88,10,69.7,284,-3,-0.97,-4.4
2024,1044,Mississippi St.,8,64,27,18.13,105.9,53,87.7,8,68.3,343,-7,-1.06,-1.3
2024,1043,Montana St.,16,68,284,-9.09,93.6,289,102.7,262,70.9,192,61,4.44,-1.9
2024,1042,Morehead St.,14,64,212,-3.59,98,204,101.6,229,68.4,342,96,8.74,-4.1
2024,1041,Nebraska,8,64,58,12.34,106.2,48,93.8,68,72.1,101,28,5.21,-3.1
2024,1040,Nevada,10,64,67,10.5,104.2,71,93.6,66,71.1,168,27,5.91,-4.4
2024,1039,New Mexico,11,64,46,14.24,108.4,29,94.2,72,73.7,24,17,3.55,-0.9
2024,1038,North Carolina,1,16,17,20.65,110,15,89.4,24,72.5,59,8,5.54,-1.9
2024,1037,North Carolina St.,11,4,61,12.11,105.7,54,93.6,65,72.2,88,16,3.79,-4.2
2024,1036,Northwestern,9,32,40,15.75,106.8,41,91,38,69.4,306,-1,0.66,-5.2
2024,1035,Oakland,14,32,271,-7.96,95.8,247,103.8,298,71.6,133,140,11.69,-5.1
2024,1034,Oregon,11,32,41,15.74,107.8,34,92,50,70.2,246,-14,-1.55,-3
2024,1033,Purdue,1,2,1,26.63,114.9,2,88.3,14,68.8,331,-2,3.99,-1.8
2024,1032,Saint Mary's,5,64,38,16.08,107.1,38,91,37,66.8,359,18,3.34,-4.3
2024,1031,Saint Peter's,15,64,290,-9.56,89.8,342,99.4,170,68.1,349,89,6.54,-4.1
2024,1030,Samford,13,64,139,2.4,100.6,139,98.2,140,72.3,77,58,7.63,0.5
2024,1029,San Diego St.,5,16,29,17.95,106,50,88.1,12,69.6,286,7,1.41,-3.4
2024,1028,South Carolina,6,64,66,10.79,103.6,81,92.8,56,68.9,327,12,3.61,-5.7
