YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2022,929,Davidson,10,64,42,0.7727,25,0.8758,12,116.8,140,101.5,37,15.3,296,64.8,120,0.608,18,89.6,202,99.57,120,36,-9.97,71
2022,928,Delaware,15,64,118,0.6586,104,0.7834,104,106.4,199,104.2,142,2.2,200,66.7,201,0.5528,110,77.35,216,100.51,177,146,-23.16,148
2022,927,Duke,2,4,7,0.8852,8,0.9259,7,120,47,95.9,13,24.1,154,67.4,50,0.6918,9,97.28,42,86.47,20,11,10.81,11
2022,926,Georgia St.,16,64,147,0.6151,157,0.729,208,101.1,108,99.6,150,1.5,167,67.3,180,0.562,210,69.85,109,93.1,126,151,-23.25,149
2022,925,Gonzaga,1,16,1,0.9901,1,0.9909,1,123,7,89.1,1,33.9,4,72.6,97,0.6454,1,109.45,1,71.11,1,1,38.34,1
2022,924,Houston,5,8,3,0.9008,3,0.9436,10,117.7,10,90.2,3,27.5,335,63.9,83,0.6623,15,90.15,25,83.06,10,2,7.09,17
2022,923,Illinois,4,32,15,0.8379,24,0.8769,22,114.1,33,94.3,18,19.8,172,67.2,4,0.7405,25,88.2,29,84.4,16,18,3.8,21
2022,922,Indiana,12,64,27,0.8042,32,0.8701,84,107.9,21,92.8,40,15.1,183,67,39,0.7006,94,78.52,22,82.62,22,38,-4.1,39
2022,921,Iowa,5,64,10,0.8615,6,0.9275,2,122.7,81,98.1,11,24.6,52,69.7,49,0.6926,3,103.93,49,87.28,27,14,16.65,6
2022,920,Iowa St.,11,16,45,0.7707,16,0.8903,151,104.2,11,90.5,54,13.7,234,66.1,38,0.7011,167,73.23,14,80.31,25,48,-7.08,54
